epoch,step,train_acc,train_loss,val_acc,val_loss
0,11,,,0.14351852238178253,3.0434224605560303
0,11,0.04868420958518982,3.011678695678711,,
1,23,,,0.14814814925193787,2.996279716491699
1,23,0.053947366774082184,2.946220636367798,,
2,35,,,0.1944444477558136,2.92913818359375
2,35,0.11052631586790085,2.910722494125366,,
3,47,,,0.1944444477558136,2.8537914752960205
3,47,0.17894737422466278,2.8519012928009033,,
4,59,,,0.21759259700775146,2.7707200050354004
4,59,0.2368421107530594,2.798896312713623,,
5,71,,,0.2638888955116272,2.6958227157592773
5,71,0.28026315569877625,2.74733829498291,,
6,83,,,0.26851850748062134,2.6334152221679688
6,83,0.2789473831653595,2.6960256099700928,,
7,95,,,0.27314814925193787,2.572779655456543
7,95,0.27368420362472534,2.6392972469329834,,
8,107,,,0.27314814925193787,2.5052454471588135
8,107,0.26710525155067444,2.6054413318634033,,
9,119,,,0.29629629850387573,2.42954421043396
9,119,0.28289473056793213,2.5034022331237793,,
10,131,,,0.3194444477558136,2.3586392402648926
10,131,0.30657893419265747,2.4366910457611084,,
11,143,,,0.39351850748062134,2.258185863494873
11,143,0.3618420958518982,2.359684705734253,,
12,155,,,0.40740740299224854,2.1889359951019287
12,155,0.3907894790172577,2.300010919570923,,
13,167,,,0.41203704476356506,2.149641752243042
13,167,0.41447368264198303,2.210617780685425,,
14,179,,,0.42129629850387573,2.093095541000366
14,179,0.410526305437088,2.1494429111480713,,
15,191,,,0.4444444477558136,2.025228977203369
15,191,0.40263158082962036,2.11633038520813,,
16,203,,,0.4444444477558136,1.9657013416290283
16,203,0.4749999940395355,2.023059129714966,,
17,215,,,0.6759259104728699,1.8964859247207642
17,215,0.5802631378173828,2.0006935596466064,,
18,227,,,0.6712962985038757,1.8523207902908325
18,227,0.6447368264198303,1.9118868112564087,,
19,239,,,0.6759259104728699,1.7976051568984985
19,239,0.63289475440979,1.8756074905395508,,
20,251,,,0.6481481194496155,1.7523378133773804
20,251,0.6236842274665833,1.801308512687683,,
21,263,,,0.6296296119689941,1.7215805053710938
21,263,0.6302631497383118,1.753647804260254,,
22,275,,,0.6157407164573669,1.68473482131958
22,275,0.6065789461135864,1.7214566469192505,,
23,287,,,0.6296296119689941,1.6277536153793335
23,287,0.6013157963752747,1.6703696250915527,,
24,299,,,0.5648148059844971,1.6920928955078125
24,299,0.61710524559021,1.5987719297409058,,
25,311,,,0.5277777910232544,1.7159531116485596
25,311,0.6039473414421082,1.57573664188385,,
26,323,,,0.5138888955116272,1.7065531015396118
26,323,0.6197368502616882,1.5183757543563843,,
27,335,,,0.5509259104728699,1.5977271795272827
27,335,0.6223683953285217,1.4693251848220825,,
28,347,,,0.39814814925193787,1.6613777875900269
28,347,0.5973684191703796,1.4602540731430054,,
29,359,,,0.49537035822868347,1.620211124420166
29,359,0.621052622795105,1.4022070169448853,,
30,371,,,0.5416666865348816,1.4988343715667725
30,371,0.6013157963752747,1.3824944496154785,,
31,383,,,0.6712962985038757,1.2424098253250122
31,383,0.621052622795105,1.3511269092559814,,
32,395,,,0.40740740299224854,1.5166682004928589
32,395,0.5960526466369629,1.3380943536758423,,
33,407,,,0.42592594027519226,1.4008697271347046
33,407,0.4381578862667084,1.5061646699905396,,
34,419,,,0.6157407164573669,1.266774296760559
34,419,0.5144736766815186,1.4029724597930908,,
35,431,,,0.5138888955116272,1.2006888389587402
35,431,0.567105233669281,1.3603191375732422,,
36,443,,,0.6064814925193787,1.2004905939102173
36,443,0.567105233669281,1.3026692867279053,,
37,455,,,0.6944444179534912,1.1831728219985962
37,455,0.6131578683853149,1.2563068866729736,,
38,467,,,0.7083333134651184,1.164983868598938
38,467,0.6013157963752747,1.2277247905731201,,
39,479,,,0.6898148059844971,1.1715134382247925
39,479,0.6236842274665833,1.2019484043121338,,
40,491,,,0.6851851940155029,1.087044358253479
40,491,0.6105263233184814,1.1996040344238281,,
41,503,,,0.7083333134651184,1.1084402799606323
41,503,0.6394736766815186,1.1565899848937988,,
42,515,,,0.7083333134651184,1.0671559572219849
42,515,0.6526315808296204,1.1232892274856567,,
43,527,,,0.7083333134651184,1.0259276628494263
43,527,0.6394736766815186,1.1373945474624634,,
44,539,,,0.7175925970077515,1.0301587581634521
44,539,0.6513158082962036,1.1281108856201172,,
45,551,,,0.6388888955116272,1.4167535305023193
45,551,0.675000011920929,1.0704201459884644,,
46,563,,,0.7314814925193787,0.933512270450592
46,563,0.6697368621826172,1.0558534860610962,,
47,575,,,0.6944444179534912,1.0439016819000244
47,575,0.6526315808296204,1.0786179304122925,,
48,587,,,0.7638888955116272,0.9086887836456299
48,587,0.7236841917037964,0.9889857172966003,,
49,599,,,0.7592592835426331,0.9186206459999084
49,599,0.6934210658073425,1.0135551691055298,,
50,611,,,0.7592592835426331,0.8964297771453857
50,611,0.682894766330719,1.009301781654358,,
51,623,,,0.7314814925193787,0.8706250786781311
51,623,0.7118421196937561,0.9842473268508911,,
52,635,,,0.7453703880310059,0.91945481300354
52,635,0.6934210658073425,0.9694530963897705,,
53,647,,,0.7731481194496155,0.8533613681793213
53,647,0.7092105150222778,0.9402077198028564,,
54,659,,,0.75,0.8721080422401428
54,659,0.74210524559021,0.9047483801841736,,
55,671,,,0.6898148059844971,0.9502765536308289
55,671,0.6881579160690308,0.9517234563827515,,
56,683,,,0.7777777910232544,0.8087098002433777
56,683,0.74210524559021,0.9118032455444336,,
57,695,,,0.7407407164573669,0.8980421423912048
57,695,0.7078947424888611,0.9355801939964294,,
58,707,,,0.7037037014961243,1.0047059059143066
58,707,0.7381578683853149,0.871260404586792,,
59,719,,,0.7407407164573669,0.8529281616210938
59,719,0.7171052694320679,0.9038375616073608,,
60,731,,,0.7638888955116272,0.7586756944656372
60,731,0.7078947424888611,0.9152503609657288,,
61,743,,,0.7777777910232544,0.756423830986023
61,743,0.74210524559021,0.8462181687355042,,
62,755,,,0.7824074029922485,0.7336123585700989
62,755,0.6973684430122375,0.9409487843513489,,
63,767,,,0.7870370149612427,0.7291843891143799
63,767,0.7092105150222778,0.9044631123542786,,
64,779,,,0.7916666865348816,0.7238174080848694
64,779,0.7328947186470032,0.8722768425941467,,
65,791,,,0.8055555820465088,0.7194905877113342
65,791,0.7263157963752747,0.8575902581214905,,
66,803,,,0.7916666865348816,0.7132558226585388
66,803,0.7250000238418579,0.8302320241928101,,
67,815,,,0.7824074029922485,0.7103968262672424
67,815,0.7486842274665833,0.806418240070343,,
68,827,,,0.7870370149612427,0.7093451619148254
68,827,0.7065789699554443,0.8838673830032349,,
69,839,,,0.7916666865348816,0.7076882719993591
69,839,0.7302631735801697,0.8262812495231628,,
70,851,,,0.7962962985038757,0.6881923675537109
70,851,0.74210524559021,0.8261415958404541,,
71,863,,,0.7962962985038757,0.6900413036346436
71,863,0.6868420839309692,0.8892854452133179,,
72,875,,,0.75,0.7065333724021912
72,875,0.7355263233184814,0.8209871053695679,,
73,887,,,0.7361111044883728,0.7089154124259949
73,887,0.74210524559021,0.809453547000885,,
74,899,,,0.7314814925193787,0.7216892838478088
74,899,0.74210524559021,0.8014971017837524,,
75,911,,,0.6805555820465088,0.7871237993240356
75,911,0.7026315927505493,0.8331114053726196,,
76,923,,,0.7916666865348816,0.8929402828216553
76,923,0.7342105507850647,0.7940868139266968,,
77,935,,,0.6203703880310059,1.0524767637252808
77,935,0.7223684191703796,0.7911332249641418,,
78,947,,,0.5601851940155029,1.1472245454788208
78,947,0.74210524559021,0.7884259819984436,,
79,959,,,0.7314814925193787,0.7473821043968201
79,959,0.6986842155456543,0.9509050250053406,,
80,971,,,0.7638888955116272,0.745445966720581
80,971,0.7486842274665833,0.7444786429405212,,
81,983,,,0.7314814925193787,0.6913332343101501
81,983,0.7592105269432068,0.7400104999542236,,
82,995,,,0.7314814925193787,0.8867180347442627
82,995,0.7315789461135864,0.7923553586006165,,
83,1007,,,0.7314814925193787,0.7631951570510864
83,1007,0.7342105507850647,0.7786238789558411,,
84,1019,,,0.7824074029922485,0.6559637784957886
84,1019,0.75789475440979,0.7441644072532654,,
85,1031,,,0.7916666865348816,0.6204205751419067
85,1031,0.746052622795105,0.7470194101333618,,
86,1043,,,0.8009259104728699,0.6205893158912659
86,1043,0.7381578683853149,0.7495110630989075,,
87,1055,,,0.8240740895271301,0.6172073483467102
87,1055,0.7184210419654846,0.7733417749404907,,
88,1067,,,0.6851851940155029,0.9785305261611938
88,1067,0.699999988079071,0.8179132342338562,,
89,1079,,,0.8055555820465088,0.6377906799316406
89,1079,0.7552631497383118,0.703341543674469,,
90,1091,,,0.6666666865348816,1.1061879396438599
90,1091,0.7434210777282715,0.7244150042533875,,
91,1103,,,0.75,0.730481743812561
91,1103,0.7223684191703796,0.752302885055542,,
92,1115,,,0.7916666865348816,0.6141253113746643
92,1115,0.7355263233184814,0.7330909371376038,,
93,1127,,,0.7916666865348816,0.5920789241790771
93,1127,0.7381578683853149,0.7463353872299194,,
94,1139,,,0.7962962985038757,0.5762594938278198
94,1139,0.7552631497383118,0.700700044631958,,
95,1151,,,0.8194444179534912,0.5762811303138733
95,1151,0.7276315689086914,0.7388328909873962,,
96,1163,,,0.8101851940155029,0.5816096663475037
96,1163,0.75789475440979,0.6943811774253845,,
97,1175,,,0.8009259104728699,0.5849061608314514
97,1175,0.7302631735801697,0.728472113609314,,
98,1187,,,0.7916666865348816,0.5696274042129517
98,1187,0.75789475440979,0.6983286142349243,,
99,1199,,,0.7962962985038757,0.5605360865592957
99,1199,0.7407894730567932,0.7365003228187561,,
100,1211,,,0.7962962985038757,0.5573848485946655
100,1211,0.7552631497383118,0.6873357892036438,,
101,1223,,,0.8101851940155029,0.5610609650611877
101,1223,0.7592105269432068,0.6712971329689026,,
102,1235,,,0.8148148059844971,0.5550256371498108
102,1235,0.7657894492149353,0.6551908850669861,,
103,1247,,,0.8194444179534912,0.5541893839836121
103,1247,0.7513157725334167,0.666314423084259,,
104,1259,,,0.7916666865348816,0.5655290484428406
104,1259,0.7434210777282715,0.7173283696174622,,
105,1271,,,0.8101851940155029,0.5443282127380371
105,1271,0.699999988079071,0.7809520363807678,,
106,1283,,,0.8194444179534912,0.5483765006065369
106,1283,0.7631579041481018,0.6683918833732605,,
107,1295,,,0.8194444179534912,0.5442973971366882
107,1295,0.7723684310913086,0.6411246061325073,,
108,1307,,,0.8101851940155029,0.5470901727676392
108,1307,0.746052622795105,0.7075684666633606,,
109,1319,,,0.8240740895271301,0.54038006067276
109,1319,0.7394737005233765,0.6903693675994873,,
110,1331,,,0.8148148059844971,0.5606074929237366
110,1331,0.7697368264198303,0.6587406396865845,,
111,1343,,,0.8101851940155029,0.5454298853874207
111,1343,0.7842105031013489,0.6297197937965393,,
112,1355,,,0.8194444179534912,0.5400922298431396
112,1355,0.7736842036247253,0.6376225352287292,,
113,1367,,,0.8055555820465088,0.5388841032981873
113,1367,0.753947377204895,0.6792405247688293,,
114,1379,,,0.8194444179534912,0.5254773497581482
114,1379,0.7355263233184814,0.7121531367301941,,
115,1391,,,0.8148148059844971,0.5535709857940674
115,1391,0.7710526585578918,0.6636525988578796,,
116,1403,,,0.8194444179534912,0.5337319374084473
116,1403,0.7184210419654846,0.7197384238243103,,
117,1415,,,0.8194444179534912,0.5333395004272461
117,1415,0.7605262994766235,0.6506539583206177,,
