epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
37,449,,13383.5908203125,,
,148,,,,11989.7705078125
,149,,,,14280.2578125
,150,,,,14649.19921875
,151,,,,13478.8515625
37,455,,,13621.8662109375,
37,455,14077.1357421875,,,
,152,,,,11989.767578125
,153,,,,14280.25390625
,154,,,,14649.1962890625
,155,,,,13478.849609375
38,467,,,13621.86328125,
38,467,14077.1337890625,,,
,156,,,,11989.767578125
,157,,,,14280.25
,158,,,,14649.193359375
,159,,,,13478.84765625
39,479,,,13621.8603515625,
39,479,14077.1259765625,,,
,160,,,,11989.759765625
,161,,,,14280.24609375
,162,,,,14649.189453125
,163,,,,13478.841796875
40,491,,,13621.85546875,
40,491,14077.12109375,,,
41,499,,12637.0400390625,,
,164,,,,11989.755859375
,165,,,,14280.240234375
,166,,,,14649.1826171875
,167,,,,13478.8369140625
41,503,,,13621.849609375,
41,503,14077.1181640625,,,
,168,,,,11989.75390625
,169,,,,14280.234375
,170,,,,14649.17578125
,171,,,,13478.8330078125
42,515,,,13621.8447265625,
42,515,14077.1123046875,,,
,172,,,,11989.75390625
,173,,,,14280.236328125
,174,,,,14649.177734375
,175,,,,13478.8330078125
43,527,,,13621.845703125,
43,527,14077.1103515625,,,
,176,,,,11989.7578125
,177,,,,14280.2392578125
,178,,,,14649.1796875
,179,,,,13478.8359375
44,539,,,13621.8486328125,
44,539,14077.10546875,,,
45,549,,15374.888671875,,
,180,,,,11989.7509765625
,181,,,,14280.2333984375
,182,,,,14649.173828125
,183,,,,13478.828125
45,551,,,13621.8427734375,
45,551,14077.1025390625,,,
,184,,,,11989.7431640625
,185,,,,14280.224609375
,186,,,,14649.166015625
,187,,,,13478.822265625
46,563,,,13621.8349609375,
46,563,14077.095703125,,,
,188,,,,11989.7421875
,189,,,,14280.2197265625
,190,,,,14649.158203125
,191,,,,13478.8173828125
47,575,,,13621.8291015625,
47,575,14077.0947265625,,,
,192,,,,11989.740234375
,193,,,,14280.216796875
,194,,,,14649.1572265625
,195,,,,13478.81640625
48,587,,,13621.8271484375,
48,587,14077.087890625,,,
49,599,,14244.9052734375,,
,196,,,,11989.7333984375
,197,,,,14280.2109375
,198,,,,14649.150390625
,199,,,,13478.80859375
49,599,,,13621.8212890625,
