epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,11990.2451171875
,1,,,,14280.6376953125
,2,,,,14649.5654296875
,3,,,,13479.2236328125
0,11,,,13622.2685546875,
0,11,14077.5234375,,,
,4,,,,11990.24609375
,5,,,,14280.634765625
,6,,,,14649.55859375
,7,,,,13479.212890625
1,23,,,13622.263671875,
1,23,14077.5126953125,,,
,8,,,,11990.2529296875
,9,,,,14280.6396484375
,10,,,,14649.5693359375
,11,,,,13479.2236328125
2,35,,,13622.2734375,
2,35,14077.5087890625,,,
,12,,,,11990.2421875
,13,,,,14280.634765625
,14,,,,14649.568359375
,15,,,,13479.2197265625
3,47,,,13622.267578125,
3,47,14077.5068359375,,,
4,49,,14173.5380859375,,
,16,,,,11990.2294921875
,17,,,,14280.623046875
,18,,,,14649.556640625
,19,,,,13479.2109375
4,59,,,13622.2548828125,
4,59,14077.4951171875,,,
,20,,,,11990.2158203125
,21,,,,14280.611328125
,22,,,,14649.548828125
,23,,,,13479.203125
5,71,,,13622.2451171875,
5,71,14077.4912109375,,,
,24,,,,11990.2158203125
,25,,,,14280.6123046875
,26,,,,14649.548828125
,27,,,,13479.203125
6,83,,,13622.2451171875,
6,83,14077.48046875,,,
,28,,,,11990.2373046875
,29,,,,14280.62890625
,30,,,,14649.56640625
,31,,,,13479.22265625
7,95,,,13622.263671875,
7,95,14077.4736328125,,,
8,99,,15882.677734375,,
,32,,,,11990.322265625
,33,,,,14280.693359375
,34,,,,14649.611328125
,35,,,,13479.26953125
8,107,,,13622.326171875,
8,107,14077.4658203125,,,
,36,,,,11990.2890625
,37,,,,14280.666015625
,38,,,,14649.58984375
,39,,,,13479.24609375
9,119,,,13622.30078125,
9,119,14077.4443359375,,,
,40,,,,11990.2734375
,41,,,,14280.654296875
,42,,,,14649.576171875
,43,,,,13479.2314453125
10,131,,,13622.2861328125,
10,131,14077.4462890625,,,
,44,,,,11990.1884765625
,45,,,,14280.59375
,46,,,,14649.533203125
,47,,,,13479.185546875
11,143,,,13622.224609375,
11,143,14077.4404296875,,,
12,149,,15314.47265625,,
,48,,,,11990.1474609375
,49,,,,14280.5625
,50,,,,14649.50390625
,51,,,,13479.1591796875
12,155,,,13622.1923828125,
12,155,14077.4345703125,,,
,52,,,,11990.1279296875
,53,,,,14280.546875
,54,,,,14649.490234375
,55,,,,13479.146484375
13,167,,,13622.17578125,
13,167,14077.4248046875,,,
,56,,,,11990.1025390625
,57,,,,14280.521484375
,58,,,,14649.466796875
,59,,,,13479.12890625
14,179,,,13622.15234375,
14,179,14077.4169921875,,,
,60,,,,11990.095703125
,61,,,,14280.5166015625
,62,,,,14649.46484375
,63,,,,13479.126953125
15,191,,,13622.1484375,
15,191,14077.4091796875,,,
16,199,,13219.490234375,,
,64,,,,11990.0966796875
,65,,,,14280.517578125
,66,,,,14649.466796875
,67,,,,13479.12890625
16,203,,,13622.1484375,
16,203,14077.400390625,,,
,68,,,,11990.12890625
,69,,,,14280.5419921875
,70,,,,14649.4912109375
,71,,,,13479.1552734375
17,215,,,13622.1767578125,
17,215,14077.390625,,,
,72,,,,11990.19140625
,73,,,,14280.5986328125
,74,,,,14649.5185546875
,75,,,,13479.16796875
18,227,,,13622.220703125,
18,227,14077.3984375,,,
,76,,,,11990.16015625
,77,,,,14280.5673828125
