epoch,step,train_acc,train_loss,val_acc,val_loss
0,11,,,0.1111111119389534,3.0772924423217773
0,11,0.0,3.1733932495117188,,
1,23,,,0.1111111119389534,3.047729969024658
1,23,0.04605263099074364,3.1142642498016357,,
2,35,,,0.1111111119389534,3.0118420124053955
2,35,0.09342104941606522,3.05623459815979,,
3,47,,,0.1111111119389534,2.9666335582733154
3,47,0.09342104941606522,2.994682550430298,,
4,59,,,0.1111111119389534,2.9128565788269043
4,59,0.09210526198148727,2.941892385482788,,
5,71,,,0.10185185074806213,2.8846960067749023
5,71,0.102631576359272,2.894179105758667,,
6,83,,,0.10185185074806213,2.851790428161621
6,83,0.12105263024568558,2.8452656269073486,,
7,95,,,0.34259259700775146,2.7760884761810303
7,95,0.16710525751113892,2.7949883937835693,,
8,107,,,0.34259259700775146,2.7343220710754395
8,107,0.3302631676197052,2.750004291534424,,
9,119,,,0.34259259700775146,2.7035677433013916
9,119,0.3460526168346405,2.706477403640747,,
10,131,,,0.34259259700775146,2.6571414470672607
10,131,0.36052632331848145,2.6450390815734863,,
11,143,,,0.34259259700775146,2.6174418926239014
11,143,0.3486842215061188,2.600137948989868,,
12,155,,,0.3333333432674408,2.547297477722168
12,155,0.371052622795105,2.5537805557250977,,
13,167,,,0.36574074625968933,2.4920451641082764
13,167,0.371052622795105,2.5041561126708984,,
14,179,,,0.3333333432674408,2.448106527328491
14,179,0.41842105984687805,2.4330387115478516,,
15,191,,,0.3333333432674408,2.352174997329712
15,191,0.44342106580734253,2.3590950965881348,,
16,203,,,0.3333333432674408,2.358250141143799
16,203,0.44078946113586426,2.3096930980682373,,
17,215,,,0.3333333432674408,2.3060364723205566
17,215,0.42763158679008484,2.278160572052002,,
18,227,,,0.3333333432674408,2.321573495864868
18,227,0.4223684072494507,2.2375495433807373,,
19,239,,,0.2916666567325592,2.4222962856292725
19,239,0.43157893419265747,2.1731085777282715,,
20,251,,,0.3333333432674408,2.3288397789001465
20,251,0.4355263113975525,2.107954740524292,,
21,263,,,0.3333333432674408,2.2488620281219482
21,263,0.45394736528396606,2.038968086242676,,
22,275,,,0.2361111044883728,2.3063905239105225
22,275,0.4368421137332916,2.0160911083221436,,
23,287,,,0.2361111044883728,2.2582457065582275
23,287,0.4460526406764984,1.9596071243286133,,
24,299,,,0.24074074625968933,2.2101094722747803
24,299,0.4289473593235016,1.9425466060638428,,
25,311,,,0.25,2.1042816638946533
25,311,0.4289473593235016,1.909787893295288,,
26,323,,,0.43981480598449707,1.77336585521698
26,323,0.4513157904148102,1.834647536277771,,
27,335,,,0.3333333432674408,1.9356821775436401
27,335,0.45921051502227783,1.7831915616989136,,
28,347,,,0.10185185074806213,3.963031053543091
28,347,0.4513157904148102,1.7594984769821167,,
29,359,,,0.023148147389292717,7.215500354766846
29,359,0.4421052634716034,1.7359236478805542,,
30,371,,,0.36574074625968933,1.7690118551254272
30,371,0.44999998807907104,1.6956082582473755,,
31,383,,,0.24074074625968933,4.558956146240234
31,383,0.4513157904148102,1.6722592115402222,,
32,395,,,0.3333333432674408,1.9873552322387695
32,395,0.44999998807907104,1.6262184381484985,,
33,407,,,0.4444444477558136,1.544244647026062
33,407,0.44999998807907104,1.6101276874542236,,
34,419,,,0.41203704476356506,1.7521705627441406
34,419,0.4618421196937561,1.5608346462249756,,
35,431,,,0.25925925374031067,1.9623486995697021
35,431,0.46315789222717285,1.529345989227295,,
36,443,,,0.10185185074806213,3.5373599529266357
36,443,0.4684210419654846,1.4952720403671265,,
37,455,,,0.25925925374031067,2.0345561504364014
37,455,0.4513157904148102,1.515067219734192,,
38,467,,,0.19907407462596893,2.228846311569214
38,467,0.38026314973831177,1.8316433429718018,,
39,479,,,0.25925925374031067,2.110430955886841
39,479,0.4618421196937561,1.4480754137039185,,
40,491,,,0.35648149251937866,1.5089279413223267
40,491,0.45394736528396606,1.4644746780395508,,
41,503,,,0.4444444477558136,1.3372241258621216
41,503,0.46578946709632874,1.4432404041290283,,
42,515,,,0.43981480598449707,1.4137346744537354
42,515,0.5026316046714783,1.4028490781784058,,
43,527,,,0.4444444477558136,1.413921594619751
43,527,0.5381578803062439,1.3732026815414429,,
44,539,,,0.5972222089767456,1.2668787240982056
44,539,0.5565789341926575,1.3401148319244385,,
45,551,,,0.4861111044883728,1.7073174715042114
45,551,0.5368421077728271,1.3740118741989136,,
46,563,,,0.5787037014961243,1.247422218322754
46,563,0.5355263352394104,1.3338731527328491,,
47,575,,,0.5925925970077515,1.2277857065200806
47,575,0.5434210300445557,1.3324573040008545,,
48,587,,,0.5879629850387573,1.2964788675308228
48,587,0.5342105031013489,1.3501123189926147,,
49,599,,,0.42592594027519226,2.2873470783233643
49,599,0.5289473533630371,1.3689302206039429,,
50,611,,,0.5694444179534912,1.3094186782836914
50,611,0.553947389125824,1.2847416400909424,,
51,623,,,0.5555555820465088,1.3333381414413452
51,623,0.550000011920929,1.3061761856079102,,
52,635,,,0.5879629850387573,1.2080740928649902
52,635,0.5473684072494507,1.2816139459609985,,
53,647,,,0.5046296119689941,1.502411127090454
53,647,0.5486842393875122,1.2867730855941772,,
54,659,,,0.47685185074806213,1.7788903713226318
54,659,0.5381578803062439,1.2782553434371948,,
55,671,,,0.375,2.635157823562622
55,671,0.5434210300445557,1.2591198682785034,,
56,683,,,0.24537037312984467,4.6787638664245605
56,683,0.5526315569877625,1.2464913129806519,,
57,695,,,0.375,4.801815986633301
57,695,0.5460526347160339,1.2807226181030273,,
58,707,,,0.47685185074806213,1.5661866664886475
58,707,0.5486842393875122,1.228692889213562,,
59,719,,,0.5833333134651184,1.1487741470336914
59,719,0.550000011920929,1.2377498149871826,,
60,731,,,0.5925925970077515,1.12147057056427
60,731,0.5447368621826172,1.2463433742523193,,
61,743,,,0.6018518805503845,1.1167161464691162
61,743,0.553947389125824,1.221839427947998,,
62,755,,,0.5925925970077515,1.1126952171325684
62,755,0.553947389125824,1.20624577999115,,
63,767,,,0.5925925970077515,1.1114301681518555
63,767,0.5434210300445557,1.2264190912246704,,
64,779,,,0.5972222089767456,1.1378347873687744
64,779,0.5552631616592407,1.2089200019836426,,
65,791,,,0.5787037014961243,1.1938817501068115
65,791,0.5434210300445557,1.2108986377716064,,
66,803,,,0.47685185074806213,1.7329726219177246
66,803,0.5447368621826172,1.2385356426239014,,
67,815,,,0.4305555522441864,2.0348727703094482
67,815,0.5368421077728271,1.2392741441726685,,
68,827,,,0.31481480598449707,3.120415687561035
68,827,0.553947389125824,1.1842138767242432,,
69,839,,,0.4722222089767456,1.5204401016235352
69,839,0.550000011920929,1.2115062475204468,,
70,851,,,0.375,2.848423957824707
70,851,0.5565789341926575,1.1965805292129517,,
71,863,,,0.5092592835426331,1.2179679870605469
71,863,0.5644736886024475,1.1685487031936646,,
72,875,,,0.5648148059844971,1.1270803213119507
72,875,0.5552631616592407,1.1904882192611694,,
73,887,,,0.5879629850387573,1.1072776317596436
73,887,0.567105233669281,1.1548280715942383,,
74,899,,,0.5787037014961243,1.1442314386367798
74,899,0.5552631616592407,1.1665695905685425,,
75,911,,,0.5972222089767456,1.0862969160079956
75,911,0.5473684072494507,1.2224243879318237,,
76,923,,,0.5555555820465088,1.1618552207946777
76,923,0.567105233669281,1.1510896682739258,,
77,935,,,0.5509259104728699,1.1878899335861206
77,935,0.5565789341926575,1.1732858419418335,,
78,947,,,0.24074074625968933,4.508363246917725
78,947,0.553947389125824,1.1582478284835815,,
79,959,,,0.375,6.230002403259277
79,959,0.550000011920929,1.1948360204696655,,
80,971,,,0.375,2.0814425945281982
80,971,0.5565789341926575,1.1621085405349731,,
81,983,,,0.375,4.617617130279541
81,983,0.5447368621826172,1.1732765436172485,,
82,995,,,0.37962964177131653,2.5297439098358154
82,995,0.5605263113975525,1.151584267616272,,
83,1007,,,0.375,2.4330122470855713
83,1007,0.553947389125824,1.160785436630249,,
84,1019,,,0.23148147761821747,12.108922004699707
84,1019,0.5552631616592407,1.2003989219665527,,
85,1031,,,0.3333333432674408,2.9497625827789307
85,1031,0.550000011920929,1.1841875314712524,,
86,1043,,,0.5925925970077515,1.0772420167922974
86,1043,0.5684210658073425,1.1307580471038818,,
87,1055,,,0.6064814925193787,1.0429974794387817
87,1055,0.5592105388641357,1.132509469985962,,
88,1067,,,0.6111111044883728,1.0326124429702759
88,1067,0.5763157606124878,1.1003260612487793,,
89,1079,,,0.6018518805503845,1.0281389951705933
89,1079,0.5552631616592407,1.149430274963379,,
90,1091,,,0.6018518805503845,1.027342677116394
90,1091,0.5605263113975525,1.133744239807129,,
91,1103,,,0.6064814925193787,1.022805094718933
91,1103,0.5618420839309692,1.1416774988174438,,
92,1115,,,0.6018518805503845,1.0203649997711182
92,1115,0.5434210300445557,1.1665514707565308,,
93,1127,,,0.6064814925193787,1.018388032913208
93,1127,0.5644736886024475,1.1293269395828247,,
94,1139,,,0.6296296119689941,1.0072999000549316
94,1139,0.5644736886024475,1.1101921796798706,,
95,1151,,,0.6342592835426331,1.0039153099060059
95,1151,0.5684210658073425,1.1109731197357178,,
96,1163,,,0.625,1.0011271238327026
96,1163,0.5565789341926575,1.1300053596496582,,
97,1175,,,0.6296296119689941,1.0004429817199707
97,1175,0.571052610874176,1.0979293584823608,,
98,1187,,,0.6203703880310059,0.9948977828025818
98,1187,0.574999988079071,1.110533595085144,,
99,1199,,,0.6435185074806213,0.9831811189651489
99,1199,0.5894736647605896,1.0780915021896362,,
100,1211,,,0.6527777910232544,0.9758739471435547
100,1211,0.5921052694320679,1.0687650442123413,,
101,1223,,,0.6620370149612427,0.9721213579177856
101,1223,0.6078947186470032,1.0491490364074707,,
102,1235,,,0.6527777910232544,0.9604873657226562
102,1235,0.5986841917037964,1.0594124794006348,,
103,1247,,,0.6666666865348816,0.9635643362998962
103,1247,0.5894736647605896,1.1081293821334839,,
104,1259,,,0.6666666865348816,0.9535766839981079
104,1259,0.5802631378173828,1.1072388887405396,,
105,1271,,,0.6666666865348816,0.941091001033783
105,1271,0.6065789461135864,1.087815284729004,,
106,1283,,,0.6759259104728699,0.9306125044822693
106,1283,0.6105263233184814,1.0307000875473022,,
107,1295,,,0.6805555820465088,0.9197447299957275
107,1295,0.6276316046714783,1.0150996446609497,,
108,1307,,,0.6898148059844971,0.90199214220047
108,1307,0.6039473414421082,1.0329017639160156,,
109,1319,,,0.7129629850387573,0.8946478366851807
109,1319,0.6394736766815186,1.0063040256500244,,
110,1331,,,0.7129629850387573,0.888823926448822
110,1331,0.6368421316146851,0.9865173101425171,,
111,1343,,,0.7129629850387573,0.8701874017715454
111,1343,0.6592105031013489,0.9534807801246643,,
112,1355,,,0.7037037014961243,0.8810569047927856
112,1355,0.6131578683853149,1.053591012954712,,
113,1367,,,0.7129629850387573,0.8551467657089233
113,1367,0.6499999761581421,0.9574945569038391,,
114,1379,,,0.7129629850387573,0.8497228026390076
114,1379,0.6499999761581421,0.9485461711883545,,
115,1391,,,0.7129629850387573,0.8376585841178894
115,1391,0.6421052813529968,0.9685908555984497,,
116,1403,,,0.7129629850387573,0.8362902998924255
116,1403,0.6592105031013489,0.9418995976448059,,
117,1415,,,0.7129629850387573,0.8280993103981018
117,1415,0.6381579041481018,0.9673746824264526,,
118,1427,,,0.7222222089767456,0.8199973106384277
118,1427,0.6644737124443054,0.9234958291053772,,
119,1439,,,0.7268518805503845,0.8202804327011108
119,1439,0.6157894730567932,1.0076838731765747,,
120,1451,,,0.7222222089767456,0.8112833499908447
120,1451,0.6460526585578918,0.9402315616607666,,
121,1463,,,0.7268518805503845,0.8081873655319214
121,1463,0.6407894492149353,0.9627202749252319,,
122,1475,,,0.7314814925193787,0.8026750087738037
122,1475,0.6552631855010986,0.9039161801338196,,
123,1487,,,0.7268518805503845,0.789713978767395
123,1487,0.6236842274665833,0.988391101360321,,
124,1499,,,0.7314814925193787,0.7932686805725098
124,1499,0.6657894849777222,0.9142438173294067,,
125,1511,,,0.7361111044883728,0.7876851558685303
125,1511,0.6381579041481018,0.9808810353279114,,
126,1523,,,0.7453703880310059,0.7784809470176697
126,1523,0.6802631616592407,0.8810272812843323,,
127,1535,,,0.7453703880310059,0.7681927680969238
127,1535,0.6763157844543457,0.8582878708839417,,
128,1547,,,0.7453703880310059,0.7598792314529419
128,1547,0.6657894849777222,0.9118684530258179,,
129,1559,,,0.7453703880310059,0.7522594928741455
129,1559,0.6710526347160339,0.88730788230896,,
130,1571,,,0.7638888955116272,0.7433106303215027
130,1571,0.6802631616592407,0.8627140522003174,,
131,1583,,,0.7546296119689941,0.7399265766143799
131,1583,0.6657894849777222,0.8833391070365906,,
132,1595,,,0.7592592835426331,0.7347244024276733
132,1595,0.6802631616592407,0.8406505584716797,,
133,1607,,,0.7638888955116272,0.7276768088340759
133,1607,0.7026315927505493,0.83267742395401,,
134,1619,,,0.7638888955116272,0.7202128767967224
134,1619,0.678947389125824,0.8938332200050354,,
135,1631,,,0.7638888955116272,0.7141697406768799
135,1631,0.7078947424888611,0.819272518157959,,
136,1643,,,0.7638888955116272,0.7218353152275085
136,1643,0.6644737124443054,0.926472008228302,,
137,1655,,,0.7685185074806213,0.7038230299949646
137,1655,0.6986842155456543,0.8366407752037048,,
138,1667,,,0.7777777910232544,0.7008524537086487
138,1667,0.7144736647605896,0.7895938158035278,,
139,1679,,,0.7777777910232544,0.6929008960723877
139,1679,0.7039473652839661,0.7945935130119324,,
140,1691,,,0.7685185074806213,0.6838542819023132
140,1691,0.7197368144989014,0.7998530268669128,,
141,1703,,,0.7731481194496155,0.6751328706741333
141,1703,0.7157894968986511,0.7727476358413696,,
142,1715,,,0.7592592835426331,0.6717385053634644
142,1715,0.6763157844543457,0.8581929206848145,,
143,1727,,,0.7731481194496155,0.6623616218566895
143,1727,0.7171052694320679,0.7800599932670593,,
144,1739,,,0.7916666865348816,0.6561015844345093
144,1739,0.6986842155456543,0.8029135465621948,,
145,1751,,,0.7824074029922485,0.652929961681366
145,1751,0.7276315689086914,0.7748504877090454,,
146,1763,,,0.7824074029922485,0.6520304679870605
146,1763,0.7092105150222778,0.7574695944786072,,
147,1775,,,0.7731481194496155,0.6488249897956848
147,1775,0.7157894968986511,0.7693969011306763,,
148,1787,,,0.7777777910232544,0.6405380368232727
148,1787,0.7065789699554443,0.7596414089202881,,
149,1799,,,0.7824074029922485,0.6368823647499084
149,1799,0.7118421196937561,0.7837290167808533,,
150,1811,,,0.7962962985038757,0.6314564347267151
150,1811,0.7118421196937561,0.7605156898498535,,
151,1823,,,0.7916666865348816,0.6309174299240112
151,1823,0.7276315689086914,0.7422168850898743,,
152,1835,,,0.7962962985038757,0.6214317679405212
152,1835,0.7289473414421082,0.7806346416473389,,
153,1847,,,0.7916666865348816,0.6173824071884155
153,1847,0.7342105507850647,0.7406365871429443,,
154,1859,,,0.7916666865348816,0.6163163185119629
154,1859,0.6578947305679321,0.8839958310127258,,
