epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.9574981927871704
,1,,,,1.002447247505188
,2,,,,0.9342982769012451
,3,,,,1.0278273820877075
0,11,,,0.9717567563056946,
0,11,0.9249642491340637,,,
,4,,,,0.9263080358505249
,5,,,,0.9776759147644043
,6,,,,0.9112874269485474
,7,,,,0.9963919520378113
1,23,,,0.9448646903038025,
1,23,0.9243659377098083,,,
,8,,,,0.917529284954071
,9,,,,0.9631116986274719
,10,,,,0.9009616374969482
,11,,,,0.9833119511604309
2,35,,,0.9334354400634766,
2,35,0.923373281955719,,,
,12,,,,0.911471962928772
,13,,,,0.9550774097442627
,14,,,,0.8950576782226562
,15,,,,0.9750245213508606
3,47,,,0.9265900254249573,
3,47,0.9206103086471558,,,
4,49,,0.834465742111206,,
,16,,,,0.90813148021698
,17,,,,0.951878011226654
,18,,,,0.8934124708175659
,19,,,,0.9715176820755005
4,59,,,0.9237750768661499,
4,59,0.9204330444335938,,,
,20,,,,0.9068500995635986
,21,,,,0.950539231300354
,22,,,,0.8921006917953491
,23,,,,0.9708431363105774
5,71,,,0.9225351810455322,
5,71,0.9185206294059753,,,
,24,,,,0.9054287672042847
,25,,,,0.9497929811477661
,26,,,,0.8913960456848145
,27,,,,0.9697589874267578
6,83,,,0.9215636849403381,
6,83,0.917508602142334,,,
,28,,,,0.903754472732544
,29,,,,0.9479821920394897
,30,,,,0.8900707960128784
,31,,,,0.9680929183959961
7,95,,,0.9199532270431519,
7,95,0.9153366088867188,,,
8,99,,0.904301643371582,,
,32,,,,0.9027001857757568
,33,,,,0.9476068019866943
,34,,,,0.8887397050857544
,35,,,,0.9673388600349426
8,107,,,0.9190514087677002,
8,107,0.9140273332595825,,,
,36,,,,0.899990975856781
,37,,,,0.9452724456787109
,38,,,,0.8874800801277161
,39,,,,0.9647756218910217
9,119,,,0.9168990850448608,
9,119,0.9131920337677002,,,
,40,,,,0.8989599943161011
,41,,,,0.9448675513267517
,42,,,,0.8869035243988037
,43,,,,0.9640267491340637
10,131,,,0.9162195920944214,
10,131,0.9110676646232605,,,
,44,,,,0.8969036340713501
,45,,,,0.9431938529014587
,46,,,,0.8848944902420044
,47,,,,0.963100016117096
11,143,,,0.9144160747528076,
11,143,0.9102694988250732,,,
12,149,,0.8030887842178345,,
,48,,,,0.8960992097854614
,49,,,,0.9425922632217407
,50,,,,0.8844773769378662
,51,,,,0.9619982242584229
12,155,,,0.9137535095214844,
12,155,0.9084123969078064,,,
,52,,,,0.8945963978767395
,53,,,,0.9414547681808472
,54,,,,0.883638322353363
,55,,,,0.9608263373374939
13,167,,,0.9125924110412598,
13,167,0.9063304662704468,,,
,56,,,,0.8923900723457336
,57,,,,0.9396786689758301
,58,,,,0.8823899030685425
,59,,,,0.9596744179725647
14,179,,,0.9109144806861877,
